Sample;Experiment;Condition;Subset;PTM sample
QE37922GM;BIO71;A17;x;QX21586GM
QE37883GM;BIO78;A24;x;QX21702GM
QE37874GM;BIO81;A27;x;QX21520GM
QE37728GM;BIO83;A29;y;QX21640GM
QE37731GM;BIO88;A34;y;QX21782GM
QE37692GM;BIO97;A43;y;QX21496GM
QE37886GM;BIO98;A44;y;QX21568GM
QE37805GM;BIO101;A47;x;QX21562GM
QE37901GM;BIO62;A8;x;QX21463GM
QE37725GM;BIO41;B114;x;QX21723GM
QE37931GM;BIO40;B202;x;QX21690GM
QE37844GM;BIO10;B10;y;QX21714GM
QE37787GM;BIO14;B14;x;QX21511GM
QE37973GM;BIO22;B22;x;QX21717GM
QE37877GM;BIO25;B25;x;QX21553GM
QE37653GM;BIO35;B35;y;QX21466GM
